unique_key,created_date,closed_date,agency,complaint_type,borough,status
63577994,2025-01-01T00:00:12.000,2025-01-02T17:05:54.000,NYPD,Noise - Residential,BRONX,Closed
63584096,2025-01-01T00:00:13.000,2025-01-01T00:05:19.000,NYPD,Noise - Residential,BROOKLYN,Closed
63581480,2025-01-01T00:00:17.000,2025-01-01T09:01:06.000,NYPD,Noise - Residential,BRONX,Closed
63575612,2025-01-01T00:00:19.000,2025-01-01T00:43:08.000,NYPD,Illegal Fireworks,BROOKLYN,Closed
63586536,2025-01-01T00:00:34.000,2025-01-02T12:04:30.000,HPD,HEAT/HOT WATER,BRONX,Closed
63593943,2025-01-01T00:00:37.000,2025-01-01T22:50:30.000,HPD,HEAT/HOT WATER,MANHATTAN,Closed
63572426,2025-01-01T00:00:42.000,2025-01-01T00:41:12.000,NYPD,Noise - Residential,BROOKLYN,Closed
63581601,2025-01-01T00:00:50.000,2025-01-02T17:09:55.000,NYPD,Noise - Residential,BRONX,Closed
63575947,2025-01-01T00:00:50.000,2025-01-01T01:46:05.000,NYPD,Noise - Residential,BROOKLYN,Closed
63576541,2025-01-01T00:01:03.000,2025-01-01T08:38:08.000,NYPD,Noise - Residential,BRONX,Closed
63584548,2025-01-01T00:01:06.000,2025-01-01T00:19:04.000,NYPD,Noise - Street/Sidewalk,MANHATTAN,Closed
63575993,2025-01-01T00:01:24.000,2025-01-01T00:43:35.000,NYPD,Noise - Street/Sidewalk,MANHATTAN,Closed
63579629,2025-01-01T00:01:28.000,2025-01-02T17:07:28.000,NYPD,Noise - Residential,BRONX,Closed
63585577,2025-01-01T00:01:42.000,2025-01-01T00:44:35.000,NYPD,Illegal Parking,BROOKLYN,Closed
63576522,2025-01-01T00:01:49.000,2025-01-01T08:38:09.000,NYPD,Noise - Residential,BRONX,Closed
63583880,2025-01-01T00:01:57.000,2025-01-01T14:58:06.000,NYPD,Blocked Driveway,MANHATTAN,Closed
63580493,2025-01-01T00:02:00.000,2025-01-01T00:02:00.000,DOT,Traffic Signal Condition,QUEENS,Closed
63584101,2025-01-01T00:02:05.000,2025-01-01T01:03:56.000,NYPD,Illegal Fireworks,QUEENS,Closed
63581599,2025-01-01T00:02:06.000,2025-01-02T16:30:14.000,NYPD,Noise - Residential,BRONX,Closed
63577385,2025-01-01T00:02:09.000,2025-01-01T00:10:31.000,NYPD,Illegal Fireworks,BROOKLYN,Closed
63579011,2025-01-01T00:02:14.000,2025-01-01T00:27:50.000,NYPD,Noise - Commercial,QUEENS,Closed
63576018,2025-01-01T00:02:24.000,2025-01-01T00:19:44.000,NYPD,Noise - Street/Sidewalk,MANHATTAN,Closed
63572417,2025-01-01T00:02:31.000,2025-01-01T00:05:50.000,NYPD,Noise - Residential,BROOKLYN,Closed
63582736,2025-01-01T00:02:34.000,2025-01-01T01:07:15.000,NYPD,Noise - Street/Sidewalk,BRONX,Closed
63580050,2025-01-01T00:02:35.000,2025-01-01T09:01:53.000,NYPD,Noise - Residential,BRONX,Closed
63576437,2025-01-01T00:02:44.000,2025-01-02T17:08:14.000,NYPD,Noise - Residential,BRONX,Closed
63582421,2025-01-01T00:03:07.000,2025-01-01T00:42:55.000,NYPD,Illegal Fireworks,BROOKLYN,Closed
63583123,2025-01-01T00:03:15.000,2025-01-01T21:26:22.000,NYPD,Illegal Parking,MANHATTAN,Closed
63583644,2025-01-01T00:03:20.000,2025-01-01T01:39:32.000,NYPD,Illegal Parking,BROOKLYN,Closed
63573292,2025-01-01T00:03:21.000,2025-01-01T08:38:10.000,NYPD,Noise - Residential,BRONX,Closed
63573291,2025-01-01T00:03:23.000,2025-01-02T16:30:15.000,NYPD,Noise - Residential,BRONX,Closed
63588918,2025-01-01T00:03:37.000,2025-01-02T19:55:51.000,HPD,HEAT/HOT WATER,MANHATTAN,Closed
63580325,2025-01-01T00:03:41.000,2025-01-01T00:50:47.000,NYPD,Illegal Parking,QUEENS,Closed
63572401,2025-01-01T00:03:42.000,2025-01-01T00:17:17.000,NYPD,Noise - Commercial,MANHATTAN,Closed
63582434,2025-01-01T00:03:44.000,2025-01-01T00:07:59.000,NYPD,Noise - Commercial,MANHATTAN,Closed
63582221,2025-01-01T00:03:58.000,2025-01-01T00:53:01.000,NYPD,Blocked Driveway,QUEENS,Closed
63573117,2025-01-01T00:04:01.000,2025-01-02T17:05:54.000,NYPD,Noise - Residential,BRONX,Closed
63584449,2025-01-01T00:04:01.000,2025-01-01T00:36:10.000,NYPD,Noise - Residential,MANHATTAN,Closed
63584259,2025-01-01T00:04:03.000,2025-01-01T01:03:27.000,NYPD,Noise - Commercial,STATEN ISLAND,Closed
63576554,2025-01-01T00:04:07.000,2025-01-01T09:02:20.000,NYPD,Noise - Residential,BRONX,Closed
63580908,2025-01-01T00:04:15.000,2025-01-01T00:31:59.000,NYPD,Noise - Residential,BROOKLYN,Closed
63572740,2025-01-01T00:04:34.000,2025-01-01T01:20:14.000,NYPD,Noise - Residential,QUEENS,Closed
63582693,2025-01-01T00:04:34.000,2025-01-01T00:36:03.000,NYPD,Noise - Residential,BRONX,Closed
63578101,2025-01-01T00:04:39.000,2025-01-02T17:09:53.000,NYPD,Noise - Residential,BRONX,Closed
63572791,2025-01-01T00:04:40.000,2025-01-01T00:13:04.000,NYPD,Noise - Street/Sidewalk,BROOKLYN,Closed
63583735,2025-01-01T00:04:42.000,2025-01-01T00:53:46.000,NYPD,Illegal Parking,BROOKLYN,Closed
63579100,2025-01-01T00:04:44.000,2025-01-01T00:22:45.000,NYPD,Illegal Fireworks,QUEENS,Closed
63582776,2025-01-01T00:04:47.000,2025-01-01T00:22:55.000,NYPD,Noise - Residential,BROOKLYN,Closed
63574641,2025-01-01T00:04:54.000,2025-01-01T09:01:52.000,NYPD,Noise - Residential,BRONX,Closed
63584223,2025-01-01T00:04:54.000,2025-01-01T00:43:02.000,NYPD,Illegal Fireworks,BROOKLYN,Closed
63574681,2025-01-01T00:04:57.000,2025-01-01T03:05:10.000,NYPD,Noise - Residential,MANHATTAN,Closed
63582137,2025-01-01T00:05:00.000,2025-01-01T00:05:00.000,DOT,Traffic Signal Condition,QUEENS,Closed
63582455,2025-01-01T00:05:06.000,2025-01-01T00:55:24.000,NYPD,Noise - Residential,MANHATTAN,Closed
63579722,2025-01-01T00:05:17.000,2025-01-01T02:29:07.000,NYPD,Noise - Residential,QUEENS,Closed
63581613,2025-01-01T00:05:17.000,2025-01-02T16:30:16.000,NYPD,Noise - Residential,BRONX,Closed
63582496,2025-01-01T00:05:19.000,2025-01-01T00:32:11.000,NYPD,Noise - Residential,BROOKLYN,Closed
63574006,2025-01-01T00:05:22.000,2025-01-01T00:54:11.000,NYPD,Noise - Commercial,QUEENS,Closed
63574272,2025-01-01T00:05:24.000,2025-01-01T00:39:07.000,NYPD,Noise - Street/Sidewalk,MANHATTAN,Closed
63572361,2025-01-01T00:05:30.000,2025-01-01T00:54:18.000,NYPD,Illegal Fireworks,QUEENS,Closed
63581768,2025-01-01T00:05:39.000,2025-01-01T08:38:11.000,NYPD,Noise - Residential,BRONX,Closed
63582506,2025-01-01T00:05:45.000,2025-01-01T00:22:55.000,NYPD,Noise - Residential,MANHATTAN,Closed
63573235,2025-01-01T00:05:55.000,2025-01-02T17:08:18.000,NYPD,Noise - Residential,BRONX,Closed
63582523,2025-01-01T00:05:56.000,2025-01-01T00:28:28.000,NYPD,Illegal Fireworks,BROOKLYN,Closed
63582680,2025-01-01T00:06:04.000,2025-01-01T00:37:50.000,NYPD,Noise - Residential,MANHATTAN,Closed
63584429,2025-01-01T00:06:12.000,2025-01-01T00:21:10.000,NYPD,Noise - Street/Sidewalk,QUEENS,Closed
63576014,2025-01-01T00:06:18.000,2025-01-01T00:39:22.000,NYPD,Noise - Street/Sidewalk,BROOKLYN,Closed
63579709,2025-01-01T00:06:25.000,2025-01-01T09:01:54.000,NYPD,Noise - Residential,BRONX,Closed
63577404,2025-01-01T00:06:28.000,2025-01-01T00:59:01.000,NYPD,Illegal Fireworks,QUEENS,Closed
63574516,2025-01-01T00:06:32.000,2025-01-01T02:09:56.000,NYPD,Illegal Fireworks,QUEENS,Closed
63584323,2025-01-01T00:06:32.000,2025-01-01T00:32:25.000,NYPD,Noise - Residential,BROOKLYN,Closed
63578337,2025-01-01T00:06:33.000,2025-01-02T17:08:12.000,NYPD,Noise - Residential,BRONX,Closed
63580659,2025-01-01T00:06:40.000,2025-01-01T00:50:29.000,NYPD,Noise - Park,QUEENS,Closed
63579043,2025-01-01T00:06:44.000,2025-01-01T01:06:52.000,NYPD,Noise - Residential,BRONX,Closed
63572741,2025-01-01T00:06:46.000,2025-01-01T00:51:36.000,NYPD,Noise - Residential,STATEN ISLAND,Closed
63577254,2025-01-01T00:06:58.000,2025-01-01T00:42:19.000,NYPD,Illegal Fireworks,QUEENS,Closed
63580634,2025-01-01T00:07:00.000,2025-01-01T00:23:39.000,NYPD,Illegal Fireworks,BROOKLYN,Closed
63582454,2025-01-01T00:07:02.000,2025-01-01T00:23:10.000,NYPD,Noise - Residential,QUEENS,Closed
63577650,2025-01-01T00:07:04.000,2025-01-01T01:07:34.000,NYPD,Noise - Street/Sidewalk,QUEENS,Closed
63585070,2025-01-01T00:07:11.000,2025-01-01T09:01:05.000,NYPD,Noise - Residential,BRONX,Closed
63584779,2025-01-01T00:07:11.000,2025-01-02T17:03:48.000,NYPD,Noise - Residential,BRONX,Closed
63572376,2025-01-01T00:07:15.000,2025-01-01T00:20:48.000,NYPD,Illegal Fireworks,MANHATTAN,Closed
63579200,2025-01-01T00:07:15.000,2025-01-01T00:24:41.000,NYPD,Illegal Fireworks,BROOKLYN,Closed
63582825,2025-01-01T00:07:17.000,2025-01-01T01:08:27.000,NYPD,Noise - Street/Sidewalk,BROOKLYN,Closed
63574597,2025-01-01T00:07:19.000,2025-01-02T08:55:17.000,DSNY,Illegal Dumping,QUEENS,Closed
63572348,2025-01-01T00:07:20.000,2025-01-01T00:28:46.000,NYPD,Illegal Fireworks,BROOKLYN,Closed
63572219,2025-01-01T00:07:36.000,2025-01-01T01:33:12.000,NYPD,Blocked Driveway,QUEENS,Closed
63582601,2025-01-01T00:07:40.000,2025-01-01T00:36:46.000,NYPD,Noise - Residential,QUEENS,Closed
63573989,2025-01-01T00:07:42.000,2025-01-01T00:57:05.000,NYPD,Noise - Residential,BRONX,Closed
63575399,2025-01-01T00:07:48.000,2025-01-01T01:07:34.000,NYPD,Blocked Driveway,STATEN ISLAND,Closed
63576609,2025-01-01T00:07:49.000,2025-01-02T17:09:50.000,NYPD,Noise - Residential,BRONX,Closed
63577482,2025-01-01T00:07:50.000,2025-01-01T00:51:05.000,NYPD,Illegal Fireworks,STATEN ISLAND,Closed
63584393,2025-01-01T00:07:52.000,2025-01-01T00:44:28.000,NYPD,Noise - Residential,QUEENS,Closed
63575983,2025-01-01T00:07:54.000,2025-01-01T00:13:30.000,NYPD,Noise - Street/Sidewalk,BROOKLYN,Closed
63584043,2025-01-01T00:07:55.000,2025-01-01T00:22:35.000,NYPD,Noise - Commercial,MANHATTAN,Closed
63573307,2025-01-01T00:07:57.000,2025-01-01T09:02:03.000,NYPD,Noise - Residential,BRONX,Closed
63574062,2025-01-01T00:08:01.000,2025-01-01T00:56:06.000,NYPD,Noise - Residential,QUEENS,Closed
63577453,2025-01-01T00:08:09.000,2025-01-01T00:49:01.000,NYPD,Noise - Residential,MANHATTAN,Closed
63575331,2025-01-01T00:08:11.000,2025-02-12T22:19:14.000,DOHMH,Smoking or Vaping,BRONX,Closed
63574357,2025-01-01T00:08:21.000,2025-01-01T01:11:23.000,NYPD,Noise - Residential,BRONX,Closed
63581616,2025-01-01T00:08:24.000,2025-01-01T02:31:42.000,NYPD,Noise - Street/Sidewalk,QUEENS,Closed
